"","quest","STATE","answer","n","region"
"773","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","MN","a moot point",1103,"minnesota"
"774","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","MO","a moot point",1539,"missouri"
"775","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","MS","a moot point",179,"mississippi"
"776","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","MT","a moot point",298,"montana"
"777","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","NC","a moot point",593,"north carolina"
"778","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","ND","a moot point",165,"north dakota"
"779","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","NE","a moot point",275,"nebraska"
"780","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","NH","a moot point",206,"new hampshire"
"781","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","NJ","a moot point",1388,"new jersey"
"782","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","NM","a moot point",171,"new mexico"
"783","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","NV","a moot point",95,"nevada"
"784","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","NY","a moot point",3158,"new york"
"785","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","OH","a moot point",1584,"ohio"
"786","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","OK","a moot point",343,"oklahoma"
"787","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","OR","a moot point",498,"oregon"
"788","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","PA","a moot point",2215,"pennsylvania"
"789","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","RI","a moot point",171,"rhode island"
"790","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","SC","a moot point",232,"south carolina"
"791","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","SD","a moot point",196,"south dakota"
"792","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","TN","a moot point",515,"tennessee"
"793","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","TX","a moot point",2143,"texas"
"794","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","UT","a moot point",261,"utah"
"795","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","VA","a moot point",1013,"virginia"
"796","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","VT","a moot point",138,"vermont"
"797","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","WA","a moot point",1589,"washington"
"798","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","WI","a moot point",1157,"wisconsin"
"799","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","WV","a moot point",188,"west virginia"
"800","What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?","WY","a moot point",79,"wyoming"
"801","What do you call a public railway system (normally underground)?","AK","the subway",78,"alaska"
"802","What do you call a public railway system (normally underground)?","AL","the subway",358,"alabama"
"803","What do you call a public railway system (normally underground)?","AR","the subway",188,"arkansas"
"804","What do you call a public railway system (normally underground)?","AZ","the subway",306,"arizona"
"805","What do you call a public railway system (normally underground)?","CA","the subway",2504,"california"
"806","What do you call a public railway system (normally underground)?","CO","the subway",496,"colorado"
"807","What do you call a public railway system (normally underground)?","CT","the subway",905,"connecticut"
"808","What do you call a public railway system (normally underground)?","DE","the subway",83,"delaware"
"809","What do you call a public railway system (normally underground)?","FL","the subway",1047,"florida"
"810","What do you call a public railway system (normally underground)?","GA","the subway",532,"georgia"
"811","What do you call a public railway system (normally underground)?","HI","the subway",87,"hawaii"
"812","What do you call a public railway system (normally underground)?","IA","the subway",843,"iowa"
"813","What do you call a public railway system (normally underground)?","ID","the subway",202,"idaho"
"814","What do you call a public railway system (normally underground)?","IL","the subway",1584,"illinois"
"815","What do you call a public railway system (normally underground)?","IN","the subway",1150,"indiana"
"816","What do you call a public railway system (normally underground)?","KS","the subway",1247,"kansas"
"817","What do you call a public railway system (normally underground)?","KY","the subway",453,"kentucky"
"818","What do you call a public railway system (normally underground)?","LA","the subway",458,"louisiana"
"819","What do you call a public railway system (normally underground)?","MA","the subway",996,"massachusetts"
"820","What do you call a public railway system (normally underground)?","MD","the subway",470,"maryland"
"821","What do you call a public railway system (normally underground)?","ME","the subway",143,"maine"
"822","What do you call a public railway system (normally underground)?","MI","the subway",1758,"michigan"
"823","What do you call a public railway system (normally underground)?","MN","the subway",1129,"minnesota"
"824","What do you call a public railway system (normally underground)?","MO","the subway",1665,"missouri"
"825","What do you call a public railway system (normally underground)?","MS","the subway",199,"mississippi"
"826","What do you call a public railway system (normally underground)?","MT","the subway",322,"montana"
"827","What do you call a public railway system (normally underground)?","NC","the subway",564,"north carolina"
"828","What do you call a public railway system (normally underground)?","ND","the subway",182,"north dakota"
"829","What do you call a public railway system (normally underground)?","NE","the subway",278,"nebraska"
"830","What do you call a public railway system (normally underground)?","NH","the subway",172,"new hampshire"
"831","What do you call a public railway system (normally underground)?","NJ","the subway",1413,"new jersey"
"832","What do you call a public railway system (normally underground)?","NM","the subway",159,"new mexico"
"833","What do you call a public railway system (normally underground)?","NV","the subway",89,"nevada"
"834","What do you call a public railway system (normally underground)?","NY","the subway",3173,"new york"
"835","What do you call a public railway system (normally underground)?","OH","the subway",1548,"ohio"
"836","What do you call a public railway system (normally underground)?","OK","the subway",346,"oklahoma"
"837","What do you call a public railway system (normally underground)?","OR","the subway",435,"oregon"
"838","What do you call a public railway system (normally underground)?","PA","the subway",2154,"pennsylvania"
"839","What do you call a public railway system (normally underground)?","RI","the subway",145,"rhode island"
"840","What do you call a public railway system (normally underground)?","SC","the subway",252,"south carolina"
"841","What do you call a public railway system (normally underground)?","SD","the subway",280,"south dakota"
"842","What do you call a public railway system (normally underground)?","TN","the subway",547,"tennessee"
"843","What do you call a public railway system (normally underground)?","TX","the subway",2163,"texas"
"844","What do you call a public railway system (normally underground)?","UT","the subway",255,"utah"
"845","What do you call a public railway system (normally underground)?","VA","the subway",870,"virginia"
"846","What do you call a public railway system (normally underground)?","VT","the subway",117,"vermont"
"847","What do you call a public railway system (normally underground)?","WA","the subway",1585,"washington"
"848","What do you call a public railway system (normally underground)?","WI","the subway",1245,"wisconsin"
"849","What do you call a public railway system (normally underground)?","WV","the subway",188,"west virginia"
"850","What do you call a public railway system (normally underground)?","WY","the subway",83,"wyoming"
"851","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","AK","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",57,"alaska"
"852","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","AL","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",252,"alabama"
"853","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","AR","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",126,"arkansas"
"854","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","AZ","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",215,"arizona"
"855","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","CA","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",2275,"california"
"856","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","CO","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",294,"colorado"
"857","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","CT","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",633,"connecticut"
"858","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","DE","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",61,"delaware"
"859","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","FL","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",737,"florida"
"860","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","GA","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",421,"georgia"
"861","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","HI","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",68,"hawaii"
"862","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","IA","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",465,"iowa"
"863","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","ID","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",136,"idaho"
"864","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","IL","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",1017,"illinois"
"865","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","IN","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",694,"indiana"
"866","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","KS","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",716,"kansas"
"867","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","KY","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",301,"kentucky"
"868","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","LA","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",309,"louisiana"
"869","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","MA","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",900,"massachusetts"
"870","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","MD","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",488,"maryland"
"871","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","ME","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",117,"maine"
"872","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","MI","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",1057,"michigan"
"873","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","MN","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",629,"minnesota"
"874","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","MO","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",1009,"missouri"
"875","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","MS","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",118,"mississippi"
"876","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","MT","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",185,"montana"
"877","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","NC","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",404,"north carolina"
"878","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","ND","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",85,"north dakota"
"879","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","NE","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",164,"nebraska"
"880","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","NH","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",131,"new hampshire"
"881","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","NJ","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",922,"new jersey"
"882","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","NM","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",122,"new mexico"
"883","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","NV","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",63,"nevada"
"884","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","NY","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",2101,"new york"
"885","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","OH","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",1065,"ohio"
"886","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","OK","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",237,"oklahoma"
"887","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","OR","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",364,"oregon"
"888","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","PA","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",1389,"pennsylvania"
"889","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","RI","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",117,"rhode island"
"890","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","SC","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",177,"south carolina"
"891","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","SD","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",117,"south dakota"
"892","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","TN","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",365,"tennessee"
"893","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","TX","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",1452,"texas"
"894","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","UT","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",198,"utah"
"895","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","VA","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",770,"virginia"
"896","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","VT","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",91,"vermont"
"897","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","WA","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",1044,"washington"
"898","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","WI","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",647,"wisconsin"
"899","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","WV","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",128,"west virginia"
"900","What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?","WY","rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself ",45,"wyoming"
"901","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","AK","roundabout ",43,"alaska"
"902","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","AL","traffic circle ",127,"alabama"
"903","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","AR","roundabout ",68,"arkansas"
"904","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","AZ","roundabout ",126,"arizona"
"905","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","CA","traffic circle ",1316,"california"
"906","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","CO","roundabout ",293,"colorado"
"907","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","CT","rotary ",495,"connecticut"
"908","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","DE","traffic circle ",51,"delaware"
"909","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","FL","roundabout ",484,"florida"
"910","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","GA","traffic circle ",247,"georgia"
"911","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","HI","roundabout ",39,"hawaii"
"912","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","IA","roundabout ",330,"iowa"
"913","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","ID","roundabout ",103,"idaho"
"914","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","IL","traffic circle ",883,"illinois"
"915","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","IN","roundabout ",495,"indiana"
"916","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","KS","roundabout ",573,"kansas"
"917","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","KY","roundabout ",180,"kentucky"
"918","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","LA","traffic circle ",261,"louisiana"
"919","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","MA","rotary ",1112,"massachusetts"
"920","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","MD","traffic circle ",362,"maryland"
"921","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","ME","rotary ",95,"maine"
"922","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","MI","traffic circle ",769,"michigan"
"923","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","MN","roundabout ",419,"minnesota"
"924","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","MO","traffic circle ",689,"missouri"
"925","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","MS","roundabout ",81,"mississippi"
"926","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","MT","I have no word for this ",130,"montana"
"927","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","NC","traffic circle ",359,"north carolina"
"928","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","ND","I have no word for this ",79,"north dakota"
"929","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","NE","roundabout ",120,"nebraska"
"930","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","NH","traffic circle ",91,"new hampshire"
"931","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","NJ","traffic circle ",598,"new jersey"
"932","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","NM","traffic circle ",66,"new mexico"
"933","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","NV","roundabout ",58,"nevada"
"934","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","NY","traffic circle ",1835,"new york"
"935","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","OH","traffic circle ",715,"ohio"
"936","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","OK","traffic circle ",185,"oklahoma"
"937","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","OR","traffic circle ",199,"oregon"
"938","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","PA","traffic circle ",1137,"pennsylvania"
"939","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","RI","rotary ",114,"rhode island"
"940","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","SC","traffic circle ",158,"south carolina"
"941","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","SD","I have no word for this ",121,"south dakota"
"942","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","TN","roundabout ",217,"tennessee"
"943","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","TX","traffic circle ",975,"texas"
"944","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","UT","roundabout ",181,"utah"
"945","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","VA","traffic circle ",632,"virginia"
"946","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","VT","rotary ",68,"vermont"
"947","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","WA","roundabout ",766,"washington"
"948","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","WI","roundabout ",517,"wisconsin"
"949","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","WV","traffic circle ",83,"west virginia"
"950","What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?","WY","roundabout ",29,"wyoming"
"951","What do you call an easy course?","AK","other ",48,"alaska"
"952","What do you call an easy course?","AL","crip course ",152,"alabama"
"953","What do you call an easy course?","AR","blow-off ",106,"arkansas"
"954","What do you call an easy course?","AZ","other ",158,"arizona"
"955","What do you call an easy course?","CA","other ",2062,"california"
"956","What do you call an easy course?","CO","other ",267,"colorado"
"957","What do you call an easy course?","CT","other ",376,"connecticut"
"958","What do you call an easy course?","DE","other ",40,"delaware"
"959","What do you call an easy course?","FL","other ",568,"florida"
"960","What do you call an easy course?","GA","other ",266,"georgia"
"961","What do you call an easy course?","HI","other ",60,"hawaii"
"962","What do you call an easy course?","IA","other ",457,"iowa"
"963","What do you call an easy course?","ID","other ",127,"idaho"
"964","What do you call an easy course?","IL","blow-off ",1332,"illinois"
"965","What do you call an easy course?","IN","blow-off ",698,"indiana"
"966","What do you call an easy course?","KS","other ",692,"kansas"
"967","What do you call an easy course?","KY","other ",297,"kentucky"
"968","What do you call an easy course?","LA","blow-off ",179,"louisiana"
"969","What do you call an easy course?","MA","other ",547,"massachusetts"
"970","What do you call an easy course?","MD","other ",348,"maryland"
"971","What do you call an easy course?","ME","other ",81,"maine"
"972","What do you call an easy course?","MI","blow-off ",1111,"michigan"
"973","What do you call an easy course?","MN","other ",658,"minnesota"
"974","What do you call an easy course?","MO","blow-off ",984,"missouri"
"975","What do you call an easy course?","MS","other ",118,"mississippi"
"976","What do you call an easy course?","MT","other ",214,"montana"
"977","What do you call an easy course?","NC","other ",228,"north carolina"
"978","What do you call an easy course?","ND","other ",99,"north dakota"
"979","What do you call an easy course?","NE","other ",170,"nebraska"
"980","What do you call an easy course?","NH","blow-off ",97,"new hampshire"
"981","What do you call an easy course?","NJ","other ",641,"new jersey"
"982","What do you call an easy course?","NM","other ",88,"new mexico"
"983","What do you call an easy course?","NV","other ",55,"nevada"
"984","What do you call an easy course?","NY","other ",1434,"new york"
"985","What do you call an easy course?","OH","blow-off ",801,"ohio"
"986","What do you call an easy course?","OK","blow-off ",201,"oklahoma"
"987","What do you call an easy course?","OR","other ",345,"oregon"
"988","What do you call an easy course?","PA","other ",1084,"pennsylvania"
"989","What do you call an easy course?","RI","other ",74,"rhode island"
"990","What do you call an easy course?","SC","other ",109,"south carolina"
"991","What do you call an easy course?","SD","other ",175,"south dakota"
"992","What do you call an easy course?","TN","other ",216,"tennessee"
"993","What do you call an easy course?","TX","blow-off ",1569,"texas"
"994","What do you call an easy course?","UT","other ",193,"utah"
"995","What do you call an easy course?","VA","other ",551,"virginia"
"996","What do you call an easy course?","VT","blow-off ",51,"vermont"
"997","What do you call an easy course?","WA","other ",1166,"washington"
"998","What do you call an easy course?","WI","blow-off ",671,"wisconsin"
"999","What do you call an easy course?","WV","other ",109,"west virginia"
"1000","What do you call an easy course?","WY","other ",47,"wyoming"
"1001","What do you call food that you buy at a restaurant but then eat at home?","AK","take-out",64,"alaska"
"1002","What do you call food that you buy at a restaurant but then eat at home?","AL","take-out",252,"alabama"
"1003","What do you call food that you buy at a restaurant but then eat at home?","AR","take-out",124,"arkansas"
"1004","What do you call food that you buy at a restaurant but then eat at home?","AZ","take-out",254,"arizona"
"1005","What do you call food that you buy at a restaurant but then eat at home?","CA","take-out",2911,"california"
"1006","What do you call food that you buy at a restaurant but then eat at home?","CO","take-out",409,"colorado"
"1007","What do you call food that you buy at a restaurant but then eat at home?","CT","take-out",861,"connecticut"
"1008","What do you call food that you buy at a restaurant but then eat at home?","DE","take-out",76,"delaware"
"1009","What do you call food that you buy at a restaurant but then eat at home?","FL","take-out",863,"florida"
"1010","What do you call food that you buy at a restaurant but then eat at home?","GA","take-out",465,"georgia"
"1011","What do you call food that you buy at a restaurant but then eat at home?","HI","take-out",80,"hawaii"
"1012","What do you call food that you buy at a restaurant but then eat at home?","IA","take-out",442,"iowa"
"1013","What do you call food that you buy at a restaurant but then eat at home?","ID","take-out",166,"idaho"
"1014","What do you call food that you buy at a restaurant but then eat at home?","IL","take-out",1350,"illinois"
"1015","What do you call food that you buy at a restaurant but then eat at home?","IN","take-out",522,"indiana"
"1016","What do you call food that you buy at a restaurant but then eat at home?","KS","take-out",554,"kansas"
"1017","What do you call food that you buy at a restaurant but then eat at home?","KY","take-out",211,"kentucky"
"1018","What do you call food that you buy at a restaurant but then eat at home?","LA","take-out",359,"louisiana"
"1019","What do you call food that you buy at a restaurant but then eat at home?","MA","take-out",1407,"massachusetts"
"1020","What do you call food that you buy at a restaurant but then eat at home?","MD","take-out",348,"maryland"
"1021","What do you call food that you buy at a restaurant but then eat at home?","ME","take-out",164,"maine"
"1022","What do you call food that you buy at a restaurant but then eat at home?","MI","take-out",1035,"michigan"
"1023","What do you call food that you buy at a restaurant but then eat at home?","MN","take-out",908,"minnesota"
"1024","What do you call food that you buy at a restaurant but then eat at home?","MO","take-out",834,"missouri"
"1025","What do you call food that you buy at a restaurant but then eat at home?","MS","take-out",140,"mississippi"
"1026","What do you call food that you buy at a restaurant but then eat at home?","MT","take-out",270,"montana"
"1027","What do you call food that you buy at a restaurant but then eat at home?","NC","take-out",460,"north carolina"
"1028","What do you call food that you buy at a restaurant but then eat at home?","ND","take-out",128,"north dakota"
"1029","What do you call food that you buy at a restaurant but then eat at home?","NE","take-out",188,"nebraska"
"1030","What do you call food that you buy at a restaurant but then eat at home?","NH","take-out",191,"new hampshire"
"1031","What do you call food that you buy at a restaurant but then eat at home?","NJ","take-out",1306,"new jersey"
"1032","What do you call food that you buy at a restaurant but then eat at home?","NM","take-out",119,"new mexico"
"1033","What do you call food that you buy at a restaurant but then eat at home?","NV","take-out",86,"nevada"
"1034","What do you call food that you buy at a restaurant but then eat at home?","NY","take-out",2901,"new york"
"1035","What do you call food that you buy at a restaurant but then eat at home?","OH","take-out",875,"ohio"
"1036","What do you call food that you buy at a restaurant but then eat at home?","OK","take-out",214,"oklahoma"
